phase,api,version,status,source_url,download_url,destination,error
fase-2,acceptance-and-branches-abroad,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/insurance-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/insurance-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-2\acceptance-and-branches-abroad\2.0.0\insurance-acceptance-and-branches-abroad.yaml,
fase-2,acceptance-and-branches-abroad,1.4.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-2\acceptance-and-branches-abroad\1.4.0\insurance-acceptance-and-branches-abroad.yaml,
fase-2,acceptance-and-branches-abroad,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/bc242bb614e23d35aac5761b537f3a5a979295f5/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/bc242bb614e23d35aac5761b537f3a5a979295f5/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-2\acceptance-and-branches-abroad\1.3.0\insurance-acceptance-and-branches-abroad.yaml,
fase-2,acceptance-and-branches-abroad,1.2.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/e18abbc3fe388810d58b2dcad0a055a155c78397/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/e18abbc3fe388810d58b2dcad0a055a155c78397/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-2\acceptance-and-branches-abroad\1.2.1\insurance-acceptance-and-branches-abroad.yaml,
fase-2,acceptance-and-branches-abroad,1.2.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/4229e3baac6f52a7875d1487417de1371b6f689f/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/4229e3baac6f52a7875d1487417de1371b6f689f/documentation/source/files/swagger/insurance-acceptance-and-branches-abroad.yaml,open-insurance-apis\fase-2\acceptance-and-branches-abroad\1.2.0\insurance-acceptance-and-branches-abroad.yaml,
fase-2,auto,2.0.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/insurance-auto.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/insurance-auto.yaml,open-insurance-apis\fase-2\auto\2.0.0\insurance-auto.yaml,
fase-2,auto,1.4.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/main/documentation/source/files/swagger/current/insurance-auto.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/main/documentation/source/files/swagger/current/insurance-auto.yaml,open-insurance-apis\fase-2\auto\1.4.0\insurance-auto.yaml,
fase-2,auto,1.3.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/bc242bb614e23d35aac5761b537f3a5a979295f5/documentation/source/files/swagger/insurance-auto.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/bc242bb614e23d35aac5761b537f3a5a979295f5/documentation/source/files/swagger/insurance-auto.yaml,open-insurance-apis\fase-2\auto\1.3.0\insurance-auto.yaml,
fase-2,auto,1.2.1,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/e18abbc3fe388810d58b2dcad0a055a155c78397/documentation/source/files/swagger/insurance-auto.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/e18abbc3fe388810d58b2dcad0a055a155c78397/documentation/source/files/swagger/insurance-auto.yaml,open-insurance-apis\fase-2\auto\1.2.1\insurance-auto.yaml,
fase-2,auto,1.2.0,ok,https://github.com/br-openinsurance/areadesenvolvedor/blob/4229e3baac6f52a7875d1487417de1371b6f689f/documentation/source/files/swagger/insurance-auto.yaml,https://raw.githubusercontent.com/br-openinsurance/areadesenvolvedor/4229e3baac6f52a7875d1487417de1371b6f689f/documentation/source/files/swagger/insurance-auto.yaml,open-insurance-apis\fase-2\auto\1.2.0\insurance-auto.yaml,
